tracker_key,Method,HOTA,IDF1,AssA,DetA,LocA,MOTA,MOTP,IDSW,IDs,GT_IDs,Frag
sort,SORT,83.86,78.489,72.175,97.436,99.959,97.179,99.987,2727.0,3280.0,1211.0,2219.0
sort_rel_0p10,SORT + uniform relation 0.10,83.116,77.629,71.058,97.221,99.961,96.934,99.99,2777.0,3508.0,1211.0,2506.0
sort_rel_0p25,SORT + uniform relation 0.25,82.124,76.504,69.632,96.858,99.969,96.477,99.985,3075.0,3837.0,1211.0,2812.0
sort_rel_0p40,SORT + uniform relation 0.40,81.125,75.367,68.237,96.448,99.969,95.988,99.986,3475.0,4230.0,1211.0,3194.0
eiou,EIoU-SORT,85.37,79.963,74.013,98.469,99.974,98.297,99.991,1790.0,2660.0,1211.0,1549.0
eiou_rel_0p10,EIoU + uniform relation 0.10,84.846,79.291,73.199,98.347,99.982,98.133,99.993,1864.0,2786.0,1211.0,1722.0
eiou_rel_0p25,EIoU + uniform relation 0.25,84.19,78.595,72.269,98.078,99.979,97.83,99.993,2080.0,3022.0,1211.0,1954.0
eiou_rel_0p40,EIoU + uniform relation 0.40,83.434,77.749,71.142,97.849,99.982,97.531,99.99,2376.0,3299.0,1211.0,2209.0
